ts_s,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps
1.306,3.8474,3.9727,0.9956,497.8931,0.0382,1.3053
1.326,3.8479,3.9763,0.9883,497.8855,0.1985,1.2061
1.346,3.8474,3.9746,0.9868,497.8703,0.229,1.313
1.367,3.8457,3.9749,0.9902,497.7786,0.2366,1.2824
1.387,3.8484,3.9744,0.9929,497.9466,0.0687,1.3053
1.408,3.8503,3.9749,0.9929,497.9389,0.0534,1.3206
1.427,3.8508,3.97,0.9819,497.8703,0.0916,1.2061
1.447,3.8462,3.9744,0.9888,497.9848,0.0229,1.3053
1.467,3.8423,3.9783,0.9924,497.9313,0.1527,1.2366
1.487,3.8503,3.9727,0.9929,497.9848,0.0763,1.2366
1.507,3.8501,3.9746,0.9844,497.9237,0.1603,1.2443
1.527,3.8455,3.9736,0.988,497.9618,0.1908,1.1985
1.547,3.8479,3.9714,0.9885,497.9618,0.1603,1.3664
1.567,3.8503,3.9719,0.9929,498.0,0.0153,1.313
1.587,3.8491,3.9727,0.9895,497.9618,0.0382,1.2824
1.607,3.8447,3.9712,0.979,497.9542,0.1374,1.4504
1.627,3.8523,3.9775,0.9934,497.9008,0.2137,1.3664
1.647,3.8494,3.9719,0.9863,497.9008,0.0305,1.2977
1.667,3.8491,3.9712,0.9878,497.9237,0.1069,1.1756
1.687,3.8435,3.9714,0.9922,497.916,0.1374,1.2672
1.708,3.8435,3.9783,0.9949,497.9848,0.0763,1.2901
1.728,3.8464,3.9756,0.9927,498.0,0.1527,1.3206
1.748,3.8452,3.9731,0.9866,497.8703,0.1679,1.2443
1.768,3.8513,3.9766,0.9875,497.8244,0.1679,1.2443
1.788,3.8516,3.9749,0.99,497.8855,0.0763,1.3206
1.808,3.8433,3.9746,0.9934,497.8397,0.084,1.2672
1.828,3.8486,3.9707,0.9883,497.8626,0.0382,1.2824
1.848,3.8538,3.9741,0.9888,497.9848,0.1298,1.3053
1.868,3.8474,3.9712,0.9917,497.8321,0.1756,1.3511
1.888,3.8455,3.9756,0.9875,497.8931,0.1145,1.3359
1.908,3.8472,3.9761,0.9897,497.8855,0.1832,1.3206
1.928,3.8508,3.9751,0.9897,497.8931,0.084,1.374
1.948,3.8459,3.9817,0.9917,497.8855,0.0153,1.2595
1.968,3.8438,3.9714,0.9868,497.9084,0.1679,1.3282
1.988,3.843,3.9736,0.9932,497.9695,0.2061,1.313
2.008,3.8467,3.9734,0.9915,497.771,0.2137,1.3511
2.028,3.8474,3.9753,0.9937,497.9084,0.0916,1.2977
2.049,3.8472,3.9766,0.9937,497.9618,0.1221,1.2366
2.069,3.8445,3.9712,0.9905,497.9389,0.1603,1.2214
2.089,3.8486,3.9739,0.9893,497.9924,0.0305,1.3511
2.109,3.8489,3.9761,0.9849,497.9466,0.0763,1.2824
2.129,3.8462,3.9746,0.9915,497.8931,0.1756,1.313
2.149,3.842,3.9749,0.9917,497.9313,0.1145,1.2824
