ts_s,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps
1.307,-0.0845,0.0059,0.9958,-2.3053,0.1145,1.0458
1.327,-0.0845,0.0049,0.9973,-2.458,0.2366,0.9924
1.347,-0.0869,0.0068,0.9968,-2.3282,0.2443,1.084
1.367,-0.0869,0.0076,0.9944,-2.4275,0.0687,1.0
1.387,-0.0833,0.0042,0.9971,-2.4046,0.1603,1.0076
1.408,-0.082,0.0039,0.9922,-2.4122,0.0076,1.0229
1.427,-0.0842,0.0029,0.9922,-2.2901,0.1679,1.1221
1.447,-0.0801,0.0083,0.9915,-2.3969,0.1832,0.9771
1.467,-0.085,0.0068,1.0034,-2.3969,0.1679,1.0534
1.487,-0.0862,0.0049,0.9912,-2.3817,0.1221,1.0076
1.507,-0.0801,0.0066,0.9993,-2.4122,0.2137,0.9695
1.527,-0.0847,0.0085,1.0012,-2.2366,0.1756,1.0916
1.547,-0.0859,0.0046,0.9929,-2.3893,0.0534,1.0611
1.567,-0.0835,0.0061,0.9946,-2.3511,0.1985,1.0229
1.587,-0.082,0.011,0.9893,-2.3206,0.1756,1.0382
1.607,-0.0874,0.0044,0.9985,-2.2366,0.1756,0.9847
1.627,-0.0876,0.0073,1.0049,-2.2977,0.1679,1.1298
1.647,-0.0854,0.0039,0.9949,-2.3206,0.0916,1.0458
1.667,-0.0886,0.0044,0.991,-2.4809,0.3053,1.0
1.687,-0.0837,0.0032,0.9932,-2.3893,0.229,1.0763
1.708,-0.0859,0.01,0.9956,-2.2977,0.1603,1.0458
1.728,-0.083,0.0029,0.9954,-2.313,0.1527,1.0229
1.748,-0.0864,0.0095,0.9956,-2.4046,0.1069,1.0382
1.768,-0.0859,0.0039,0.9866,-2.374,0.2061,1.0382
1.788,-0.083,0.0061,1.0066,-2.2672,0.1756,1.084
1.808,-0.0852,0.0076,0.9966,-2.374,0.1832,0.9695
1.828,-0.0857,0.009,0.9951,-2.4427,0.1603,1.0229
1.848,-0.085,0.0059,0.9902,-2.2977,0.0534,1.0458
1.868,-0.0806,0.0022,0.9985,-2.3053,0.2443,1.0687
1.888,-0.0793,0.0063,0.9971,-2.4809,0.1069,1.0076
1.908,-0.0845,0.0076,1.0005,-2.3588,0.0687,1.084
1.928,-0.084,0.0032,0.9988,-2.3893,0.1527,1.0763
1.948,-0.0828,0.009,0.9956,-2.3969,0.1603,1.0153
1.968,-0.0847,0.0066,0.9988,-2.2824,0.2748,1.0458
1.988,-0.0823,0.0012,0.9963,-2.4504,0.2061,0.9924
2.008,-0.082,0.0068,0.9954,-2.4122,0.0458,1.0458
2.028,-0.084,0.0039,0.9978,-2.3435,0.1603,1.0763
2.049,-0.0874,0.0037,0.9971,-2.3206,0.1527,1.0534
2.069,-0.0857,0.0027,0.9941,-2.4046,0.1374,1.1069
2.089,-0.0842,0.0054,0.9958,-2.3511,0.2672,0.9924
